date,description,amount,type
2025-03-03,Customer payment,818.17,credit
2025-03-03,Medicine,364.47,debit
2025-03-03,Electricity bill,243.33,debit
2025-03-04,Ola driver payout,752.59,credit
2025-03-06,Swiggy payment received,690.78,credit
2025-03-06,Medicine,341.46,debit
2025-03-06,Grocery,204.75,debit
2025-03-07,Job completed payout,722.54,credit
2025-03-08,Grocery,217.39,debit
2025-03-09,PhonePe credit,792.56,credit
2025-03-09,Fuel recharge,307.63,debit
2025-03-09,Insurance premium,154.05,debit
2025-03-10,Urban Company booking,897.46,credit
2025-03-10,Grocery,346.21,debit
2025-03-10,Fuel recharge,224.79,debit
2025-03-11,BHIM UPI credit,705.83,credit
2025-03-12,Trip earning,741.17,credit
2025-03-12,Medicine,229.88,debit
2025-03-13,Swiggy payment received,777.54,credit
2025-03-13,Fuel recharge,248.77,debit
2025-03-13,Medicine,183.76,debit
2025-03-14,Trip earning,732.25,credit
2025-03-14,EMI debit,84.88,debit
2025-03-15,Google Pay received,768.45,credit
2025-03-16,Ola driver payout,856.33,credit
2025-03-16,Grocery,236.37,debit
2025-03-16,Rent payment,215.63,debit
2025-03-17,Medicine,268.07,debit
2025-03-18,PhonePe credit,1056.42,credit
2025-03-19,Electricity bill,81.73,debit
2025-03-20,Ola driver payout,787.41,credit
2025-03-20,Rent payment,389.61,debit
2025-03-20,Rent payment,202.41,debit
2025-03-21,Customer payment,940.72,credit
2025-03-21,Medicine,208.89,debit
2025-03-22,Ola driver payout,722.81,credit
2025-03-23,Urban Company booking,873.01,credit
2025-03-23,Grocery,329.18,debit
2025-03-23,Mobile recharge,214.8,debit
2025-03-24,Customer payment,916.79,credit
2025-03-24,Food order,218.61,debit
2025-03-24,Fuel recharge,197.6,debit
2025-03-25,BHIM UPI credit,906.18,credit
2025-03-25,Grocery,178.86,debit
2025-03-26,EMI debit,170.26,debit
2025-03-27,Trip earning,780.66,credit
2025-03-27,Fuel recharge,285.1,debit
2025-03-28,BHIM UPI credit,692.06,credit
2025-03-28,Medicine,199.49,debit
2025-03-29,Google Pay received,628.16,credit
2025-03-29,Electricity bill,122.74,debit
2025-03-30,Mobile recharge,224.13,debit
2025-03-30,Food order,100.32,debit
2025-03-31,Grocery,307.17,debit
2025-04-01,Customer payment,834.74,credit
2025-04-01,Electricity bill,6277.72,debit
2025-04-01,Insurance premium,162.31,debit
2025-04-02,Customer payment,957.94,credit
2025-04-03,PhonePe credit,808.35,credit
2025-04-03,Mobile recharge,395.32,debit
2025-04-04,Customer payment,803.22,credit
2025-04-04,Rent payment,97.09,debit
2025-04-05,Trip earning,869.99,credit
2025-04-05,Mobile recharge,118.67,debit
2025-04-06,Urban Company booking,821.02,credit
2025-04-06,Online shopping,235.89,debit
2025-04-06,Electricity bill,170.8,debit
2025-04-07,Google Pay received,987.35,credit
2025-04-07,Online shopping,254.86,debit
2025-04-08,PhonePe credit,853.06,credit
2025-04-09,Job completed payout,844.42,credit
2025-04-10,Trip earning,748.82,credit
2025-04-10,Online shopping,225.26,debit
2025-04-11,Grocery,228.36,debit
2025-04-13,Urban Company booking,932.72,credit
2025-04-13,Mobile recharge,293.88,debit
2025-04-13,Grocery,111.34,debit
2025-04-14,Ola driver payout,792.96,credit
2025-04-14,EMI debit,210.28,debit
2025-04-15,BHIM UPI credit,874.96,credit
2025-04-15,Grocery,219.76,debit
2025-04-16,Google Pay received,883.5,credit
2025-04-16,Electricity bill,92.59,debit
2025-04-17,Paytm credit,895.39,credit
2025-04-17,Food order,325.89,debit
2025-04-17,EMI debit,105.36,debit
2025-04-18,Trip earning,697.78,credit
2025-04-19,BHIM UPI credit,850.11,credit
2025-04-19,Food order,248.97,debit
2025-04-20,Swiggy payment received,887.26,credit
2025-04-20,Mobile recharge,223.69,debit
2025-04-21,BHIM UPI credit,757.33,credit
2025-04-21,Rent payment,321.26,debit
2025-04-22,BHIM UPI credit,911.81,credit
2025-04-22,Insurance premium,168.84,debit
2025-04-23,Job completed payout,994.25,credit
2025-04-23,Online shopping,155.26,debit
2025-04-24,Job completed payout,685.56,credit
2025-04-24,Electricity bill,372.03,debit
2025-04-25,Customer payment,979.09,credit
2025-04-25,Food order,185.57,debit
2025-04-26,Urban Company booking,870.27,credit
2025-04-27,Customer payment,901.52,credit
2025-04-27,Insurance premium,348.02,debit
2025-04-28,Trip earning,698.71,credit
2025-04-28,Fuel recharge,241.56,debit
2025-04-28,Grocery,192.27,debit
2025-04-29,Customer payment,858.9,credit
2025-04-29,Online shopping,109.55,debit
2025-04-30,Paytm credit,812.78,credit
2025-04-30,Food order,80.45,debit
